distance_m,x_m,y_m,v_kmh,a_long_ms2,a_lat_ms2,gear,rpm,radius_m,time_s
1118.7692280994595,538.144513,141.618753,150.0,1.9991475338673095,0.057269360959212964,12,2544.8875400394063,30314.832958369538,35.6662592449637
1123.767736248883,539.38747,146.460255,150.0,1.9991475338673095,0.05699111238043139,12,2544.8875400394063,30462.83953052347,35.78622344054986
1128.766295007376,540.631234,151.301602,150.0,1.9991475338673095,0.0567048421453241,12,2544.8875400394063,30616.628940819144,35.906188850753686
1133.7648911445424,541.875798,156.142782,150.0,1.9991475338673095,0.05638985208533409,12,2544.8875400394063,30787.65144628992,36.02615515804568
1138.7635121474532,543.121154,160.983784,150.0,1.9991475338673095,0.05607981814419986,12,2544.8875400394063,30957.859147242452,36.14612206211554
1143.762142595456,544.367294,165.824594,150.0,1.9991475338673095,0.05578288533672903,12,2544.8875400394063,31122.64811386524,36.266089192867604
1148.7607711888356,545.614211,170.665202,150.0,1.9991475338673095,0.05548654958523642,12,2544.8875400394063,31288.864131732684,36.386056279108715
1153.7593825028168,546.861897,175.505594,150.0,1.9991475338673095,0.05517398314768939,12,2544.8875400394063,31466.118849239123,36.506022950644265
1158.7579652335776,548.110345,180.34576,150.0,1.9991475338673095,0.054866342954034086,12,2544.8875400394063,31642.552020745938,36.62598893618252
1163.7565037023578,549.359546,185.185686,150.0,1.9991475338673095,0.05458859234991441,12,2544.8875400394063,31803.551554921767,36.74595385943325
1168.7549858828131,550.609494,190.025361,150.0,1.9991475338673095,0.05427775757235891,12,2544.8875400394063,31985.682326626367,36.865917431764174
1173.7533982785358,551.860181,194.864773,150.0,1.9991475338673095,0.05397184806346671,12,2544.8875400394063,32166.97544004013,36.985879329261515
1178.7517261723804,553.111598,199.703909,150.0,1.9991475338673095,0.05369143345071104,12,2544.8875400394063,32334.974120310424,37.10583919871379
1183.7499577829567,554.36374,204.542758,150.0,1.9991475338673095,0.053382265172161505,12,2544.8875400394063,32522.245084805454,37.22579675736762
1188.748079106509,555.616597,209.381308,150.0,1.9991475338673095,0.05309482578291422,12,2544.8875400394063,32698.31072069902,37.34575166913287
1193.7460761714342,556.870163,214.219546,150.0,1.9991475338673095,0.052803564419489996,12,2544.8875400394063,32878.67268426875,37.46570359869108
1198.74393643904,558.12443,219.057461,150.0,1.9991475338673095,0.0524835534001638,12,2544.8875400394063,33079.14572540533,37.58565224511362
1203.741645432453,559.37939,223.89504,150.0,1.9991475338673095,0.05219335406374473,12,2544.8875400394063,33263.068493179526,37.705597260955535
1208.7391896407003,560.635035,228.732271,150.0,1.9991475338673095,0.05191610859384174,12,2544.8875400394063,33440.70189646393,37.82553832195347
1213.7365570213678,561.891359,233.569143,150.0,1.9991475338673095,0.05161446241505192,12,2544.8875400394063,33636.136653916255,37.945475139089496
